服务编号	所属服务体系	所属主体域	所属数据实体	所属数据实体类型	所属服务名	MEP(消息交换模式)	公有/私有	对方接口编号（私有服务）	接口名称	接口编号	服务合并建议	服务数据更新时间	服务数据更新频率	私有服务同一业务双向交互编号	数据交换方式	服务发布者	服务订阅者
PUB-RMBTS-I-0149	公共服务体系	报告数据	交易行为分析数据	/	本币结算失败成交状态	单向：Out-Only	公有服务		结算失败成交	RMBTS-DPS-4	/			/	IMIX	本币交易系统	数据处理系统
PUB-DPS-I-0003	公共服务体系	报告数据	交易行为分析数据	/	本币利率互换成交清洗后信息	单向：Out-Only	公有服务		清洗后利率互换成交信息	DPS-RMBMSS-3	/			/	IMIX	数据处理系统	本币监测系统
PUB-DPS-I-0001	公共服务体系	报告数据	交易行为分析数据	/	本币异常交易数据	单向：Out-Only	公有服务		异常交易数据	DPS-RMBMSS-1	/			/	IMIX	数据处理系统	本币监测系统
PUB-RMBTS-I-0167	公共服务体系	市场条件	交易时段变更信息	/	本币交易时段变更信息--交易时段变更	单向：Out-Only	公有服务		接口组-质押匿名点击成交应急数据发往X-Trade（本币）	RMBTS-XTRADE-Repo-3	/			/	IMIX	本币交易系统	标准金融资产及衍生品交易系统
PUB-RMBTS-I-0154	公共服务体系	市场条件	交易时段变更信息	/	本币交易时段变更信息--开盘信息	单向：Out-Only	公有服务		交易系统开盘信息	RMBTS-CFAT-1	/			/	IMIX	本币交易系统	北金所
PUB-RMBTS-I-0166	公共服务体系	市场条件	交易时段变更信息	/	本币交易时段变更信息--开市信息	单向：Out-Only	公有服务		早上开市消息	RMBTS-XTRADE-IRS-4	/			/	IMIX	本币交易系统	标准金融资产及衍生品交易系统
PUB-FXTS-I-0020	公共服务体系	市场条件	交易时段变更信息	/	外汇交易时段变更信息--开市信息	单向：Out-Only	公有服务		开市信息	FXTS-CSWAP-1	/			/	IMIX	外汇交易系统	标准化外汇产品交易系统
PUB-RMBTS-I-0056	核心交易体系	指令数据	报价信息	意向报价	ETF基金买卖意向报价	单向：Out-Only	公有服务		ETF市场-意向报价	RMBTS-CMDS-10-1	/			/	IMIX	本币交易系统	市场数据发布系统
PRV-RMBTS-I-0018	核心交易体系	指令数据	报价信息	报价查询	报文查询请求--结算代理模块	单向：Out-Only	私有服务	PRV-RMBSCM-I-0008	发送报文查询请求	RMBTS-RMBSCM-9-1	/			1.0	IMIX	本币交易系统	结算代理模块
PRV-RMBSCM-I-0008	核心交易体系	指令数据	报价信息	报价查询	报文查询响应--结算代理模块	双向：In-Out	私有服务	PRV-RMBTS-I-0018	接收报文查询响应	RMBTS-RMBSCM-9-2	/			1.0	IMIX	结算代理模块	本币交易系统
PUB-RMBTS-I-0034	核心交易体系	指令数据	报价信息	点击成交报价	利率互换(浮动)浮动互换点击成交报价	单向：Out-Only	公有服务		利率互换市场-（浮动）浮动一次点击成交报价	RMBTS-CMDS-7-5	/			/	IMIX	本币交易系统	市场数据发布系统
PUB-RMBTS-I-0033	核心交易体系	指令数据	报价信息	对话报价	利率互换(浮动)浮动互换对话报价	单向：Out-Only	公有服务		利率互换市场-本方（浮动）浮动对话报价	RMBTS-CSTP-7-6	/			/	IMIX	本币交易系统	本币交易直通式处理系统（本币CSTP）
PUB-RMBTS-I-0036	核心交易体系	指令数据	报价信息	双向报价	利率互换(浮动)浮动互换双向报价	单向：Out-Only	公有服务		利率互换（IRS）双边报价—基准互换	RMBTS-SHIBOR-4	本币给shibor、CMDS系统的利率互换(浮动)浮动互换双向报价服务合并			/	IMIX	本币交易系统	上海银行间同业拆放利率系统
PUB-RMBTS-I-0035	核心交易体系	指令数据	报价信息	双向报价	利率互换(浮动)浮动互换双向报价	单向：Out-Only	公有服务		利率互换市场-（浮动）浮动双向报价	RMBTS-CMDS-7-6	本币给shibor、CMDS系统的利率互换(浮动)浮动互换双向报价服务合并			/	IMIX	本币交易系统	市场数据发布系统
PUB-RMBTS-I-0032	核心交易体系	指令数据	报价信息	意向报价	利率互换(浮动)浮动意向报价	单向：Out-Only	公有服务		利率互换市场-（浮动）浮动意向报价	RMBTS-CMDS-7-4	/			/	IMIX	本币交易系统	市场数据发布系统
PUB-RMBTS-I-0030	核心交易体系	指令数据	报价信息	点击成交报价	利率互换(固定)浮动点击成交报价	单向：Out-Only	公有服务		利率互换市场-（固定）浮动一次点击成交报价	RMBTS-CMDS-7-2	/			/	IMIX	本币交易系统	市场数据发布系统
PUB-RMBTS-I-0029	核心交易体系	指令数据	报价信息	对话报价	利率互换(固定)浮动对话报价	单向：Out-Only	公有服务		利率互换市场-本方（固定）浮动对话报价	RMBTS-CSTP-7-2	/			/	IMIX	本币交易系统	本币交易直通式处理系统（本币CSTP）
