服务编号	所属服务体系	所属主题域	所属数据实体	所属数据实体类型	服务名称	MEP(消息交换模式)	公有/私有	对方接口编号	接口名称	接口编号	服务合并建议	服务数据更新时间	服务数据更新频率	服务用途（用原“私有服务同一业务双向交互编号”或“对方接口编号”预留字段展示）	数据交换模式	服务发布者	服务订阅者
PUB-BMS-0021	公共服务体系	产品数据	产品基础信息	/	类型参考	单向：OUT-Only	公有服务	/	T_BONDRATINGCODE\T_REFERENCE	/	确定合并，编号E87-2	 8:15:22	定时－指定时点		ETL	市场基准参考系统	中国货币网
PUB-RMBTS-0194	公共服务体系	产品数据	产品基础信息	/	凭证信息	单向：OUT-Only	公有服务	/	TRDX_ASSET_MTGTN_DTLS	/	确定合并，编号E20-2	 9:00:09	定时－指定时点		ETL	本币交易系统	人民币跨境交易信息统计监测系统
PUB-RMBTS-0194	公共服务体系	产品数据	产品基础信息	/	凭证信息	单向：OUT-Only	公有服务	/	TRDX_ASSET_MTGTN_DTLS	/	确定合并，编号E20-2	 18:00:38	定时－指定时点		ETL	本币交易系统	同业存单系统
PUB-RMBTS-0112	公共服务体系	产品数据	产品基础信息	/	期差合约	单向：OUT-Only	公有服务	/	TRDX_PRDCT_SPREAD_CNTRCT1	/	27.0	 9:21:09	定时－指定时点		ETL	本币交易系统	标准金融资产及衍生品交易系统
PUB-RMBTS-0113	公共服务体系	产品数据	产品基础信息	/	期限类型	单向：OUT-Only	公有服务	/	TRDX_TERM_TYPE_MASTER	/	28.0	 9:21:09	定时－指定时点		ETL	本币交易系统	标准金融资产及衍生品交易系统
PUB-FXTS-0001	公共服务体系	产品数据	产品基础信息	/	起息日	单向：OUT-Only	公有服务	/	VALUEDATE	/	确定合并，编号E104-2	 21:00:41	定时－指定时点		ETL	外汇交易系统	CFTZ
PUB-FXTS-0001	公共服务体系	产品数据	产品基础信息	/	起息日	单向：OUT-Only	公有服务	/	VALUEDATE	/	确定合并，编号E104-2	 7:00:12	定时－指定时点		ETL	外汇交易系统	市场基准参考系统
PUB-CIM-0072	公共服务体系	产品数据	产品基础信息	/	市场	单向：OUT-Only	公有服务	/	V_MKT\MKT_ISO(无更新时间)	/	29.0	 21:00:17	定时－指定时点	传输本币外汇市场下交易产品的划分，以及对应的名称代码等信息	ETL	会员机构管理系统	中心交易信息备案系统
PUB-RMBTS-0245	公共服务体系	产品数据	产品基础信息	/	市场配置	单向：OUT-Only	公有服务	/	TRDX_MKT_CNFG_MASTER	/	确定合并，编号E21-2	 7:20:24\ 17:11:54	定时－指定时点		ETL	本币交易系统	市场基准参考系统
PUB-RMBTS-0245	公共服务体系	产品数据	产品基础信息	/	市场配置	单向：OUT-Only	公有服务	/	TRDX_MKT_MAKING_BOND_DTLS	/	确定合并，编号E21-2	 18:00:38	定时－指定时点		ETL	本币交易系统	同业存单系统
PUB-RMBTS-0338	公共服务体系	产品数据	产品基础信息	/	市场群组关系	单向：OUT-Only	公有服务	/	VIEW_ENTITY_PRFRD_CP	/	30.0	 8:00:14	定时－指定时点		ETL	本币交易系统	数据处理系统
PUB-CIM-0014	公共服务体系	产品数据	产品基础信息	/	外汇交易品种--CIM	单向：OUT-Only	公有服务	/	INSTRMNT_ISO\V_INSTRMNT(删除一个重复8:05:03)	/	确定合并，编号E67-2	 8:05:03	定时－指定时点		ETL	会员机构管理系统	本币交易系统
PUB-CIM-0014	公共服务体系	产品数据	产品基础信息	/	外汇交易品种--CIM	单向：OUT-Only	公有服务	/	INSTRMNT	/	确定合并，编号E67-2	 19:15:17	定时－指定时点		ETL	会员机构管理系统	外汇交易系统
PUB-CIM-0030	公共服务体系	产品数据	产品基础信息	/	外汇接口交易品种转换	单向：OUT-Only	公有服务	/	INTRFC_FX_INSTRMNT_TRNSFR_ISO	/	确定合并，编号E68-2	 11:29:38	定时－指定时点		ETL	会员机构管理系统	计费管理系统
PUB-CIM-0030	公共服务体系	产品数据	产品基础信息	/	外汇接口交易品种转换	单向：OUT-Only	公有服务	/	V_INTRFC_FX_INSTRMNT_TRNSFR	/	确定合并，编号E68-2	 19:15:17	定时－指定时点		ETL	会员机构管理系统	外汇交易系统
PUB-BMS-0082	公共服务体系	产品数据	产品基础信息	/	外汇远期非标准期限当日插值计算	单向：OUT-Only	公有服务	/	T_FXFORWARDINTER\T_FXSWAPINTER	/	31.0	 12:31:26	定时－指定时点		ETL	市场基准参考系统	外汇交易系统
PUB-RMBTS-0242	公共服务体系	产品数据	产品基础信息	/	远期利率协议产品资料	单向：OUT-Only	公有服务	/	TRDX_PRDCT_FRA_DTLS	/	确定合并，编号E16-2	 7:20:24\ 17:11:54	定时－指定时点		ETL	本币交易系统	市场基准参考系统
PUB-RMBTS-0242	公共服务体系	产品数据	产品基础信息	/	远期利率协议产品资料	单向：OUT-Only	公有服务	/	TRDX_PRDCT_FRA_DTLS	/	确定合并，编号E16-2	 21:05:03	定时－指定时点		ETL	本币交易系统	市场数据发布系统
PUB-RMBTS-0127	公共服务体系	产品数据	产品基础信息	/	债券发行	单向：OUT-Only	公有服务	/	TRDX_ASSET_ISSUE_DTLS1	/	确定合并，编号E22-3	 21:00:30	定时－指定时点		ETL	本币交易系统	标准金融资产及衍生品交易系统
PUB-RMBTS-0127	公共服务体系	产品数据	产品基础信息	/	债券发行	单向：OUT-Only	公有服务	/	TRDX_ASSET_ISSUE_DTLS1	/	确定合并，编号E22-3	 8:30:28	定时－指定时点		ETL	本币交易系统	人民币跨境交易信息统计监测系统
PUB-RMBTS-0127	公共服务体系	产品数据	产品基础信息	/	债券发行	单向：OUT-Only	公有服务	/	TRDX_ASSET_ISSUE_DTLS1	/	确定合并，编号E22-3	 8:30:28	定时－指定时点		ETL	本币交易系统	增值服务人民币前中台系统
PUB-BMS-0087	公共服务体系	产品数据	产品基础信息	/	债券过滤	单向：OUT-Only	公有服务	/	T_BLACKLIST	/	34.0	 8:15:22	定时－指定时点		ETL	市场基准参考系统	中国货币网
PUB-RMBTS-0232	公共服务体系	产品数据	产品基础信息	/	债券基础信息	单向：OUT-Only	公有服务	/	BM_TRDX_ASSET_BASE_DTLS_FLAT	/	35.0	 7:20:24	定时－指定时点		ETL	本币交易系统	市场基准参考系统
PUB-RMBTS-0359	公共服务体系	产品数据	产品基础信息	/	债券类别配置	单向：OUT-Only	公有服务	/	TRDX_ASSET_MASTER_TYPE_CNFG	/	36.0	 18:00:38	定时－指定时点		ETL	本币交易系统	同业存单系统
PUB-BMS-0034	公共服务体系	产品数据	产品基础信息	/	债券信息	单向：OUT-Only	公有服务	/	T_BONDINFO	/	确定合并，编号E88-2	 9:19:08	定时－指定时点		ETL	市场基准参考系统	标准金融资产及衍生品交易系统
PUB-BMS-0034	公共服务体系	产品数据	产品基础信息	/	债券信息	单向：OUT-Only	公有服务	/	T_BONDINFO	/	确定合并，编号E88-2	 8:15:22	定时－指定时点		ETL	市场基准参考系统	中国货币网
